,Unnamed: 0,Stn Id,Stn Name,CIMIS Region,Date,Day of Meas,Jul,Eto,qc,Precip (mm),qc.1,Sol Rad (W/sq.m),qc.2,Net Rad (W/sq.m),qc.3,Avg Vap Pres (kPa),qc.4,Max Air Temp (C),qc.5,Min Air Temp (C),qc.6,Avg Air Temp (C),qc.7,Max Rel Hum (%),qc.8,Min Rel Hum (%),qc.9,Avg Rel Hum (%),qc.10,Dew Point (C),qc.11,Avg Wind Speed (m/s),qc.12,Wind Run (km),qc.13,Avg Soil Temp (C),qc.14,PM ETo (mm),qc.15,Latitude,Longitude,Elevation,Plag1,Plag2,P_post1,P_post2,day,month,year,doy,dr,delta,omega,Rext,Rso,es_Tmax,es_Tmin,es,VPD,TmaxK,TminK,Rnl_out,Rnet_FAO,TmeanFAOC,del,P,gamma,PM_ETo_Calc,PT_ETo,Rnet_SdB,ETo_SdB,ETo_Ensemble,Bias_ETPM,Bias_ETPT,Bias_ETSdB,Bias_ETCIMIS
8035,8035,90,Alturas,Northeast Plateau,1/1/2019,1,1,19.0012, ,0, ,111, ,13, ,0.3, ,1.5, ,-11.9, ,-6.1, ,88, ,46, ,75, ,-9.8, ,1.4, ,117.9, ,1.2, ,21.27, ,41.438214,-120.480308,4405,0.1,0.2,0.1,0.3,1,1,2019,1,1.032995116,-0.401008795,1.187459153,150.0214964,116.5446315,0.680786994,0.24542696,0.463106977,0.163106977,274.66,261.26,72.30568884,13.16431116,-5.2,0.031556129,86.40394875,0.057458626,14.31554832,5.880177142,4.081663683,21.44696805,15.16097338,-0.055763244,-0.612150421,0.414616827,0.253296838
8036,8036,90,Alturas,Northeast Plateau,1/2/2019,2,2,28.6436, ,0, ,113, ,20, ,0.4, ,7.7, ,-10.3, ,-2.6, ,92, ,42, ,71, ,-7, ,1.6, ,134.9, ,0.8, ,32.8976, ,41.438214,-120.480308,4405,0,0.1,0,0.1,2,1,2019,2,1.032980464,-0.399565249,1.189077547,150.6651721,117.0446729,1.051045857,0.278983554,0.665014706,0.265014706,280.86,262.86,74.74050269,12.26949731,-1.3,0.040863161,86.40394875,0.057458626,21.53132323,6.425094326,4.509181622,21.87404459,19.61851554,0.097500124,-0.672498446,0.114969405,0.460028917
8037,8037,90,Alturas,Northeast Plateau,1/3/2019,3,3,16.7324, ,0, ,65, ,14, ,0.4, ,6.5, ,-7.7, ,-1.6, ,92, ,51, ,78, ,-4.9, ,1.1, ,99, ,0.7, ,19.0012, ,41.438214,-120.480308,4405,0,0,0,0,3,1,2019,3,1.03295605,-0.398003424,1.190825146,151.3608084,117.5850799,0.967977127,0.342267551,0.655122339,0.255122339,279.66,265.46,31.30967306,18.74032694,-0.6,0.042762431,86.40394875,0.057458626,18.99644877,10.07514061,2.81188021,21.19977615,16.75094138,0.134052608,-0.398532871,0.265587149,-0.001106886
8038,8038,90,Alturas,Northeast Plateau,1/4/2019,4,4,32.0468, ,0, ,90, ,9, ,0.4, ,11.4, ,-4.2, ,1.7, ,87, ,32, ,62, ,-4.9, ,2.1, ,181.2, ,0.7, ,37.7188, ,41.438214,-120.480308,4405,0,0,0,0,4,1,2019,4,1.032921879,-0.396323781,1.192700659,152.1082879,118.1657615,1.348027971,0.447465036,0.897746503,0.497746503,284.56,268.96,57.0063076,12.2936924,3.6,0.055831726,86.40394875,0.057458626,40.36107378,7.633804187,4.214789086,22.07713142,25.52970235,0.580945725,-0.700983424,-0.135237414,0.255275113
8039,8039,90,Alturas,Northeast Plateau,1/5/2019,5,5,48.4956, ,0.4, ,81, ,18, ,0.5, ,8.8, ,-3.1, ,3, ,93, ,37, ,60, ,-4, ,4.7, ,404.9, ,0.7, ,43.6744, ,41.438214,-120.480308,4405,0,0,0.4,0.4,5,1,2019,5,1.032877964,-0.394526818,1.194702716,152.9074811,118.786617,1.132640781,0.485983346,0.809312064,0.309312064,281.96,270.06,45.37832242,16.99167758,2.85,0.053274064,86.40394875,0.057458626,42.62622266,10.30022663,4.099469752,21.97227588,30.84858129,0.381788753,-0.666103717,-0.287737881,0.572052846
8040,8040,90,Alturas,Northeast Plateau,1/6/2019,6,6,19.852, ,1.9, ,55, ,9, ,0.5, ,2, ,-3.1, ,0.1, ,97, ,69, ,85, ,-2.2, ,4.6, ,395.7, ,0.8, ,17.8668, ,41.438214,-120.480308,4405,0.4,0,2.3,2.3,6,1,2019,6,1.032824315,-0.392613066,1.196829863,153.7582459,119.4475361,0.705641434,0.485983346,0.59581239,0.09581239,275.16,270.06,20.51084602,21.83915398,-0.55,0.042900954,86.40394875,0.057458626,17.3957788,11.76290174,3.002516782,21.28349316,17.57354342,-0.010115468,-0.330647129,0.211109942,0.129652656
8041,8041,90,Alturas,Northeast Plateau,1/7/2019,7,7,15.598, ,2.1, ,74, ,20, ,0.5, ,2.9, ,-3.5, ,-0.6, ,97, ,78, ,92, ,-1.7, ,1.2, ,100.2, ,0.9, ,16.7324, ,41.438214,-120.480308,4405,1.9,0.4,4,4.4,7,1,2019,7,1.03276095,-0.390583093,1.199080577,154.6604275,120.1483985,0.752405183,0.471649743,0.612027463,0.112027463,276.06,269.66,36.50298718,20.47701282,-0.3,0.043599377,86.40394875,0.057458626,12.97591343,11.13132131,4.348566529,21.87609873,15.39533337,-0.157152813,-0.276967829,0.420956481,0.01316416
8042,8042,90,Alturas,Northeast Plateau,1/8/2019,8,8,16.1652, ,0, ,41, ,3, ,0.6, ,7.5, ,0.1, ,3.9, ,90, ,64, ,77, ,0.3, ,2.2, ,194, ,1, ,17.016, ,41.438214,-120.480308,4405,2.1,1.9,2.1,4,8,1,2019,8,1.032687887,-0.388437499,1.20145326,155.6138575,120.8890734,1.036779928,0.615259552,0.82601974,0.22601974,280.66,273.26,8.341708654,23.22829135,3.8,0.056531299,86.40394875,0.057458626,25.14710974,14.51477492,2.588005254,21.2834757,19.27764009,0.304470341,-0.247066817,0.104049853,-0.161453377
8043,8043,90,Alturas,Northeast Plateau,1/9/2019,9,9,34.5992, ,0, ,55, ,4, ,0.6, ,8.6, ,1.9, ,5.7, ,80, ,62, ,70, ,0.8, ,5.4,Y,468,Y,1.3, ,34.3156, ,41.438214,-120.480308,4405,0,2.1,0,2.1,9,1,2019,9,1.032605148,-0.386176919,1.203946246,156.6183537,121.6694191,1.117403609,0.700607396,0.909005502,0.309005502,281.76,275.06,20.54919212,21.80080788,5.25,0.061831793,86.40394875,0.057458626,45.12085933,14.23801376,3.721066298,21.92873998,28.97170327,0.557411344,-0.508554481,-0.243098006,0.194241142
8044,8044,90,Alturas,Northeast Plateau,1/10/2019,10,10,38.286, ,0, ,117, ,32, ,0.5, ,9.4, ,-4.1, ,2.7, ,87, ,50, ,73, ,-1.7, ,2.7, ,231.8, ,1.9, ,38.0024, ,41.438214,-120.480308,4405,0,0,0,0,10,1,2019,10,1.032512757,-0.383802022,1.206557809,157.6737194,122.489283,1.179454917,0.450851266,0.815153092,0.315153092,282.56,269.06,74.56499455,15.52500545,2.65,0.052609257,86.40394875,0.057458626,32.82101672,9.349833122,8.465744253,24.0463803,26.12580753,0.256268028,-0.642122713,-0.079592841,0.465447525
8045,8045,90,Alturas,Northeast Plateau,1/11/2019,11,11,13.3292, ,0, ,45, ,5, ,0.5, ,6.3, ,-3.4, ,1.7, ,87, ,66, ,75, ,-2.2, ,1.4, ,123.6, ,1.9, ,16.4488, ,41.438214,-120.480308,4405,0,0,0,0,11,1,2019,11,1.032410741,-0.381313512,1.20928616,158.7797434,123.3485009,0.954709881,0.475197576,0.714953728,0.214953728,279.46,269.76,11.09566954,23.55433046,1.45,0.048768071,86.40394875,0.057458626,20.63592384,13.62521008,3.474738635,21.59523269,17.29639165,0.193076814,-0.212251298,0.24853976,-0.229365276
8046,8046,90,Alturas,Northeast Plateau,1/12/2019,12,12,40.5548, ,0, ,118, ,17, ,0.4, ,10.1, ,-6.1, ,2.1, ,85, ,40, ,61, ,-4.5, ,2.2, ,193.4, ,1.7, ,43.6744, ,41.438214,-120.480308,4405,0,0,0,0,12,1,2019,12,1.032299131,-0.378712126,1.212129457,159.9361988,124.2468967,1.236215522,0.387267806,0.811741664,0.411741664,283.26,267.06,76.58501169,14.27498831,2,0.050497588,86.40394875,0.057458626,36.78034001,8.413356542,9.702637891,24.53850492,27.57175037,0.3339864,-0.694855915,-0.1100128,0.470882315
8048,8048,90,Alturas,Northeast Plateau,1/14/2019,13,14,35.1664, ,0, ,101, ,27, ,0.4, ,8.1, ,-10.3, ,-1.2, ,91, ,36, ,66, ,-6.8, ,2, ,168.7, ,1.4, ,34.8828, ,41.438214,-120.480308,4405,0,0,0,0,14,1,2019,14,1.032047264,-0.373173835,1.218153265,162.3994174,126.1604551,1.080097127,0.278983554,0.67954034,0.27954034,281.26,262.86,57.47562146,20.29437854,-1.1,0.041398245,86.40394875,0.057458626,27.95275845,10.70832079,9.358424509,23.919023,24.43662556,0.143887824,-0.561792164,-0.021181425,0.439085765
8049,8049,90,Alturas,Northeast Plateau,1/15/2019,14,15,22.1208, ,3, ,63, ,16, ,0.6, ,7.4, ,-3.9, ,1.7, ,97, ,55, ,81, ,-1.2, ,2, ,171.4, ,1.2, ,21.27, ,41.438214,-120.480308,4405,0,0,3,3,15,1,2019,15,1.031907081,-0.37023857,1.22132985,163.705646,127.1752026,1.029711114,0.457691927,0.74370152,0.14370152,280.56,269.26,23.96620426,24.54379574,1.75,0.049705021,86.40394875,0.057458626,18.83076932,14.3438274,6.177923076,22.86546609,19.5402157,-0.036306988,-0.265933006,0.170174702,0.132065292
